2000	-0.001300786
1999	-0.001274187
1998	-0.001266274
1997	-0.001034675
1996	-0.000740622
1995	-0.000698169
1994	-0.000797379
1993	-0.000641688
1992	-0.000478237
1991	-0.00064102
1990	-0.000627377
1989	-0.000349207
1988	-0.000389484
1987	-0.000348635
1986	-0.00028545
1985	-6.02488E-05
1984	-0.000168609
1983	-0.000228368
1982	-7.1706E-05
1981	-0.000451898
1980	-0.00010369
1979	-2.38709E-05
1978	-3.91479E-05
1977	5.1277E-05
1976	9.74484E-05
1975	-2.67353E-05
1974	-5.8912E-05
1973	0.000366603
1972	-3.8194E-07
1971	0.000244384
1970	-4.42082E-05
1969	0.000413796
1968	0.000214201
1967	0.000665186
1966	0.000271175
1965	0.000298015
1964	0.000505561
1963	0.000695909
1962	0.000807589
1961	0.001057765
1960	0.001184554
1959	0.00101498
1958	0.000857532
1957	0.000916846
1956	0.000840183
1955	0.001004893
1954	0.000666523
1953	0.000918711
1952	0.000836981
1951	0.000591605
1950	0.00067436
1949	0.000527442
1948	0.000627964
1947	0.00088291
1946	0.0007987
1945	0.000762429
1944	0.000975208
1943	0.000988641
1942	0.0011595
1941	0.001287455
1940	0.001530845
1939	0.00172201
1938	0.001801007
1937	0.001839096
1936	0.001707084
1935	0.001549882
1934	0.001136455
1933	0.001535771
1932	0.001552418
1931	0.001862781
1930	0.002176319
1929	0.002360752
1928	0.002545186
1927	0.002545186
1926	0.002194762
1925	0.002047215
1924	0.002545186
1923	0.002877167
1922	0.003043158
1921	0.003504242
1920	0.003153818
1919	0.00278495
1918	0.002471413
1917	0.002526743
1916	0.002711177
1915	0.00289561
1914	0.003356695
1913	0.004352637
1912	0.004500184
1911	0.004518628
1910	0.004131317
1909	0.0040391
1908	0.004813722
1907	0.005164146
1906	0.006418296
1905	0.007303578
1904	0.007451125
1903	0.008391737
1902	0.008945039
1901	0.010494283
1900	0.013057912
1899	0.013980081
1898	0.014496496
1897	0.015271118
1896	0.01604574
1895	0.016543711
1894	0.016728145
1893	0.016506824
1892	0.015750646
1891	0.013980081
1890	0.012725931
1889	0.010734046
1888	0.009000369
1887	0.008852822
1886	0.007764662
1885	0.007856879
1884	0.007635559
1883	0.005680561
1882	0.005588344
1881	0.00540391
1880	0.00529325
1879	0.006030985
1878	0.006160089
1877	0.007063814
1876	0.007192918
1875	0.007432682
1874	0.007672446
1873	0.008262634
1872	0.007174474
1871	0.008115087
1870	0.006104758
